Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,azimuth,distance_m
0.8260186055,-1.8613850757,-0.4701477036,99,103,2.09
1.1031189991,-2.48581476,0.0474705455,250,89,2.72
0.8227780243,-1.8540826136,-0.5435199947,140,105,2.1
0.7733588116,-1.7280560593,0.5072853284,27,75,1.96
1.1272600623,-2.5188419033,-0.0481686418,250,91,2.76
0.7721592022,-1.7253755541,0.4364050454,54,77,1.94
0.8688907993,-1.941520531,-0.1114755868,227,93,2.13
0.8340481055,-1.8636651716,0.3968827104,59,79,2.08
0.8301481076,-1.854950698,-0.1777977152,83,95,2.04
0.827094203,-1.8481268042,0.3206906533,64,81,2.05
0.8473799517,-1.893454937,-0.2547069277,190,97,2.09
0.8149443554,-1.820978193,0.2449573802,77,83,2.01
0.8391980206,-1.8751725623,-0.3253836873,187,99,2.08
1.0824480227,-2.4187102238,0.2318342757,250,85,2.66
0.8460776455,-1.8905449578,-0.4026069802,177,101,2.11
1.0320627804,-2.3061253256,0.1324099693,250,87,2.53
0.8318622333,-1.8587808805,-0.4701477036,120,103,2.09
1.1558499914,-2.5827255748,0.0493903102,250,89,2.83
0.832544435,-1.8603052475,-0.5461081852,140,105,2.11
0.7784826456,-1.7257538545,0.5072853284,53,75,1.96
1.1059492942,-2.4516876107,-0.0469469733,250,91,2.69
0.7933013787,-1.7586042796,0.4454030876,50,77,1.98
0.9855183929,-2.1847142962,-0.125606295,235,93,2.4
0.8476468592,-1.879078285,0.4006988903,81,79,2.1
0.8397445096,-1.8615602192,-0.1786692726,75,95,2.05
0.8447580675,-1.8726743613,0.3253836873,62,81,2.08
0.8489128954,-1.881884856,-0.2534882343,191,97,2.08
0.8285063354,-1.8366472392,0.2473947671,108,83,2.03
0.8447580675,-1.8726743613,-0.3253836873,187,99,2.08
1.028174985,-2.2792761708,0.2187609143,250,85,2.51
0.8476468592,-1.879078285,-0.4006988903,176,101,2.1
1.0101563527,-2.2393321536,0.1287464524,244,87,2.46
0.8453868228,-1.8740681969,-0.4746467247,136,103,2.11
1.1470626508,-2.5428284141,0.048692214,250,89,2.79
0.838060399,-1.8578268535,-0.5461081852,142,105,2.11
0.7839004106,-1.7232996669,0.5072853284,64,75,1.96
1.1136460277,-2.4482010756,-0.0469469733,250,91,2.69
