,X,Y,Z,ref,phjj,r
37742,-3.2724027147697408,4.269304908196812,0.09389394663258575,75.0,89.0,5.38
37743,-0.0,0.0,-0.0,89.0,105.0,0.0
37744,-2.7967070825607583,3.6250497479880357,1.2268022737859483,77.0,75.0,4.74
37745,-3.2919063940089024,4.266919663633713,-0.09406847069695794,90.0,91.0,5.39
37746,-2.809252615840731,3.6413110799446518,1.0617689765030425,77.0,77.0,4.72
37747,-3.2939957051937654,4.269627797435564,-0.28261416371189674,107.0,93.0,5.4
37748,-2.8001952818299927,3.6295710995306116,0.8910780084084647,77.0,79.0,4.67
37749,-3.1520917350481352,4.085694000999538,-0.45146674743286963,71.0,95.0,5.18
37750,-2.81145221389554,3.6441621659321624,0.7289846070874761,73.0,81.0,4.66
37751,-1.2853204968315866,1.6660131381570866,-0.25836300801891243,49.0,97.0,2.12
37752,-2.8010286298877025,3.6306512727762925,0.5630363665317815,83.0,83.0,4.62
37753,-3.173441769332734,4.11336759502214,-0.822845286111614,80.0,99.0,5.26
37754,-2.805239941809248,3.6361099120864626,0.401787974066704,94.0,85.0,4.61
37755,-3.1719556832720905,4.11144135257322,-1.009379585541922,80.0,101.0,5.29
37756,-3.2878957131471096,4.261721079292163,0.28209080414946797,90.0,87.0,5.39
37757,-2.862818873346169,3.7107428590113933,-1.0820145713939908,61.0,103.0,4.81
37758,-3.2796915279828958,4.251086937609099,0.09371942256821293,90.0,89.0,5.37
37759,-0.0,0.0,-0.0,46.0,105.0,0.0
37760,-2.8140059152793504,3.6238749695893238,1.2293904642369735,78.0,75.0,4.75
37761,-3.2807659592497616,4.2249682476682615,-0.0933703744394666,89.0,91.0,5.35
37762,-2.832630276550428,3.6478594098026083,1.0662679975899199,77.0,77.0,4.74
37763,-3.3073928592476682,4.259258351998263,-0.28261416371189674,90.0,93.0,5.4
37764,-2.8176046012291143,3.6285093549919814,0.8929860983622302,78.0,79.0,4.68
37765,-3.1526920087882013,4.0600346983768425,-0.44972363257791653,70.0,95.0,5.16
37766,-2.8228867942033884,3.635311759635154,0.7289846070874761,75.0,81.0,4.66
37767,-1.290548080060533,1.6619669699303572,-0.25836300801891243,38.0,97.0,2.12
37768,-2.8185083069246537,3.629673146593185,0.5642550599658329,75.0,83.0,4.63
37769,-3.168175522249726,4.0799743568437465,-0.8181522521604072,80.0,99.0,5.23
37770,-2.822759124147576,3.635147346221127,0.4026595314941806,93.0,85.0,4.62
37771,-3.172815437708853,4.085949636924731,-1.005563405634391,78.0,101.0,5.27
37772,-3.2951432560652694,4.243483321064936,0.28156744458703853,88.0,87.0,5.38
37773,-2.8625103427587653,3.6863389394418755,-1.0775155503071134,79.0,103.0,4.79
37774,-3.28689823207079,4.2328653845797914,0.0935448985038401,85.0,89.0,5.36
37775,-0.0,0.0,-0.0,52.0,105.0,0.0
37776,-2.831324910559849,3.6226272020781294,1.2319786546879987,78.0,75.0,4.76
37777,-3.2817087724951257,4.198884919282729,-0.09302132631072094,79.0,91.0,5.33
37778,-2.85007652867689,3.6466195463055326,1.0685175081333584,72.0,77.0,4.75
37779,-3.283860066550749,4.201637459740557,-0.2794740063373201,84.0,93.0,5.34
37780,-2.847124527632621,3.642842516250224,0.8987103682235266,77.0,79.0,4.71
37781,-3.147027734130365,4.026563052807915,-0.44710896029548675,73.0,95.0,5.13
37782,-2.828211338835994,3.618643445363953,0.7274202624370738,71.0,81.0,4.65
37783,-1.2835387475528213,1.642263791225121,-0.25592562115080947,33.0,97.0,2.1
37784,-2.84212151243839,3.636441251998482,0.5666924468339358,78.0,83.0,4.65
37785,-3.1688131344807586,4.054437064590579,-0.8150235628596025,79.0,99.0,5.21
37786,-2.8464344417865286,3.6419595643330838,0.40440264634913375,98.0,85.0,4.64
37787,-3.1795912983752834,4.068227523455663,-1.0036553156806256,80.0,101.0,5.26
37788,-3.2900096172371733,4.20950569468389,0.2799973658997502,80.0,87.0,5.35
37789,-2.8860774953549133,3.6926821089957076,-1.0820145713939908,57.0,103.0,4.81
37790,-3.2817087724951257,4.198884919282729,0.09302132631072157,80.0,89.0,5.33
37791,-2.6588282248324626,3.4019209229599237,-1.1569211316082681,146.0,105.0,4.47
37792,-2.8546358217632437,3.6288981444813624,1.2371550355900491,74.0,75.0,4.78
37793,-3.288701971618496,4.180695972345423,-0.0928468022463481,78.0,91.0,5.32
37794,-2.8675428882221405,3.6453059920836033,1.070767018676797,74.0,77.0,4.76
37795,-3.284695194851783,4.175602438289967,-0.27842728721246124,79.0,93.0,5.32
37796,-2.852485667668027,3.626164804506086,0.8968022782697611,75.0,79.0,4.7
37797,-3.147343633894493,4.000997039976267,-0.4453658454405336,71.0,95.0,5.11
37798,-2.857885445645476,3.6330291632216833,0.7321132963882807,75.0,81.0,4.68
37799,-1.2886917289232205,1.6382233377178623,-0.25592562115080947,34.0,97.0,2.1
37800,-2.8596683127534317,3.635295597031065,0.5679111402679873,74.0,83.0,4.66
37801,-3.169321680106842,4.0289361874189185,-0.811894873558798,81.0,99.0,5.19
37802,-2.8640211149920534,3.6408290089803597,0.4052742037766104,99.0,85.0,4.65
37803,-3.1741489450859106,4.035072750546134,-0.9979310458193295,79.0,101.0,5.23
37804,-3.2908694339398505,4.18345131505367,0.27895064677489134,79.0,87.0,5.33
37805,-2.8976641370480034,3.6835970214122127,-1.0820145713939908,59.0,103.0,4.81
37806,-3.27633843037181,4.164979070193748,0.09249775411760307,77.0,89.0,5.3
37807,-2.6515864118470294,3.3707756823216,-1.1491565602551927,65.0,105.0,4.44
37808,-2.872018098127733,3.627485186394567,1.2397432260410743,73.0,75.0,4.79
37809,-3.2894069084288837,4.154665613050409,-0.09249775411760243,76.0,91.0,5.3
37810,-2.8789807851637566,3.636279366381505,1.070767018676797,75.0,77.0,4.76
37811,-3.285399272805254,4.149603792978084,-0.27738056808760236,78.0,93.0,5.3
37812,-2.882143485019045,3.640273995413108,0.9025265481310575,77.0,79.0,4.73
37813,-3.147530079397243,3.975468937395609,-0.4436227305855804,71.0,95.0,5.09
37814,-2.8815467224593383,3.6395202580510273,0.7352419856890854,75.0,81.0,4.7
37815,-1.293831991426522,1.6341667156076376,-0.25592562115080947,38.0,97.0,2.1
37816,-2.871074800022662,3.626293759395995,0.5679111402679873,72.0,83.0,4.66
37817,-3.169701394705272,4.00347228385613,-0.8087661842579933,82.0,99.0,5.17
