"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.058958,2.2975,-1.363,3.0,0.0,147.0,2.672,254260285.0
0.1653,6.4415,-1.0586,2.0,1.0,147.0,6.53,254260285.0
0.062175,2.4228,-1.3618,3.0,2.0,147.0,2.78,254260285.0
0.17889,6.9712,-0.98006,81.0,3.0,147.0,7.042,254260285.0
0.065551,2.5544,-1.3587,3.0,4.0,147.0,2.894,254260285.0
0.17912,6.9801,-0.81654,49.0,5.0,147.0,7.03,254260285.0
0.069369,2.7032,-1.3582,4.0,6.0,147.0,3.026,254260285.0
0.179,6.9754,-0.65099,64.0,7.0,147.0,7.008,254260285.0
0.073782,2.8751,-1.3614,2.0,8.0,147.0,3.182,254260285.0
0.17903,6.9767,-0.48802,64.0,9.0,147.0,6.996,254260285.0
0.079072,3.0813,-1.3723,4.0,10.0,147.0,3.374,254260285.0
0.17846,6.9542,-0.32441,86.0,11.0,147.0,6.964,254260285.0
0.084365,3.2876,-1.3736,4.0,12.0,147.0,3.564,254260285.0
0.17901,6.9758,-0.16201,102.0,13.0,147.0,6.98,254260285.0
0.090232,3.5162,-1.3735,3.0,14.0,147.0,3.776,254260285.0
0.17891,6.9717,0.0,65.0,15.0,147.0,6.974,254260285.0
0.096715,3.7688,-1.3722,5.0,16.0,147.0,4.012,254260285.0
0.17906,6.9778,0.16206,77.0,17.0,147.0,6.982,254260285.0
0.10451,4.0724,-1.3765,4.0,18.0,147.0,4.3,254260285.0
0.17892,6.9721,0.32525,76.0,19.0,147.0,6.982,254260285.0
0.11309,4.4069,-1.3756,7.0,20.0,147.0,4.618,254260285.0
0.17863,6.9607,0.4869,45.0,21.0,147.0,6.98,254260285.0
0.12394,4.8297,-1.3854,3.0,22.0,147.0,5.026,254260285.0
0.179,6.9754,0.65099,75.0,23.0,147.0,7.008,254260285.0
0.13486,5.2551,-1.3762,9.0,24.0,147.0,5.434,254260285.0
0.17933,6.9881,0.81747,82.0,25.0,147.0,7.038,254260285.0
0.14932,5.8189,-1.3792,3.0,26.0,147.0,5.982,254260285.0
0.1791,6.9791,0.98117,78.0,27.0,147.0,7.05,254260285.0
0.16617,6.4752,-1.3768,7.0,28.0,147.0,6.622,254260285.0
0.17892,6.9722,1.1459,80.0,29.0,147.0,7.068,254260285.0
0.17894,6.973,-1.3142,75.0,30.0,147.0,7.098,254260285.0
0.17889,6.971,1.3138,71.0,31.0,147.0,7.096,254260285.0
0.06507,2.3008,-1.365,3.0,0.0,162.0,2.676,254260285.0
0.18228,6.445,-1.0593,2.0,1.0,162.0,6.534,254260285.0
0.068666,2.4279,-1.3647,3.0,2.0,162.0,2.786,254260285.0
0.19675,6.9568,-0.97811,81.0,3.0,162.0,7.028,254260285.0
0.072139,2.5507,-1.3568,3.0,4.0,162.0,2.89,254260285.0
0.19723,6.9737,-0.81584,51.0,5.0,162.0,7.024,254260285.0
0.076445,2.703,-1.3582,4.0,6.0,162.0,3.026,254260285.0
0.19709,6.9689,-0.65043,68.0,7.0,162.0,7.002,254260285.0
0.081359,2.8767,-1.3622,3.0,8.0,162.0,3.184,254260285.0
0.19696,6.9642,-0.48718,64.0,9.0,162.0,6.984,254260285.0
0.086932,3.0738,-1.3691,5.0,10.0,162.0,3.366,254260285.0
0.19644,6.9457,-0.32403,82.0,11.0,162.0,6.956,254260285.0
0.092763,3.28,-1.3706,3.0,12.0,162.0,3.556,254260285.0
0.19711,6.9693,-0.16187,102.0,13.0,162.0,6.974,254260285.0
